,energy,n_para
292,3.1855,2.6017109754928582
293,3.1964,2.9050645431728364
294,3.2073,3.152316608464321
295,3.2183,3.367996437052747
296,3.2292,3.5670295765799986
297,3.2401,3.7622207439073176
298,3.251,3.9452853392439247
299,3.2619,4.084433376386327
300,3.2728,4.234243453586593
301,3.2837,4.4538863430683655
302,3.2946,4.726989361158718
303,3.3055,5.012792298893937
304,3.3164,5.126260743167738
305,3.3273,5.205795232477813
306,3.3383,5.697960627766946
307,3.3492,6.201249340510181
308,3.3601,6.507334401866369
309,3.371,6.76871188886688
310,3.3819,6.861007949914915
311,3.3928,6.7908075602156135
312,3.4037,6.924035706521889
313,3.4146,3.084077696142514
314,3.4255,2.930865970332314
315,3.4364,4.139406671797203
316,3.4474,1.6119700798714474
317,3.4583,0.1487282741407413
318,3.4692,2.757918763712366
319,3.4801,4.096082783073644
320,3.491,5.375168612203544
321,3.5019,6.363040381460929
322,3.5128,5.529321728572508
323,3.5237,1.2747334843499867
324,3.5346,0.04158972029728071
325,3.5455,0.00017768479143211462
326,3.5564,0.008101193508520925
327,3.5674,1.8869445430017724
328,3.5783,2.466838661116442
329,3.5892,2.7841590050282696
330,3.6001,3.1633125726998514
331,3.611,3.471858914959326
332,3.6219,3.637946630293347
333,3.6328,3.939586782724431
334,3.6437,4.404372856715674
335,3.6546,5.017545816202307
336,3.6655,5.765095407149037
337,3.6764,6.056966461967273
338,3.6874,4.830210622082392
339,3.6983,3.819519968901624
340,3.7092,4.190456038501972
341,3.7201,2.511468903045568
342,3.731,3.0920104534656647
343,3.7419,3.7973194016118974
344,3.7528,4.436023618464314
345,3.7637,5.249262865990437
346,3.7746,5.449847266880087
347,3.7855,4.057528775359096
348,3.7965,4.209867560649386
349,3.8074,5.17106491109821
350,3.8183,5.932524921806026
351,3.8292,7.013002659685791
352,3.8401,7.79528062963183
353,3.851,7.4544467428529835
354,3.8619,3.6309811880886267
355,3.8728,0.4080775577992227
356,3.8837,0.015127301512247563
357,3.8946,0.04206327831612585
358,3.9055,2.4063433608409337
359,3.9165,3.1353297562065627
360,3.9274,2.7516626800961674
361,3.9383,3.376196459732338
362,3.9492,4.32972287267466
363,3.9601,5.339967260099755
364,3.971,6.518820557157013
365,3.9819,7.3225899535053465
366,3.9928,6.8306803364163
367,4.0037,3.672198058894353
368,4.0146,0.5175884089623556
369,4.0255,1.6600909906281311
370,4.0365,4.094502803769262
371,4.0474,5.467508770903802
372,4.0583,6.094868582096801
373,4.0692,5.129998245538675
374,4.0801,5.52386768663716
375,4.091,4.7437005617662695
376,4.1019,3.5605821111883236
377,4.1128,4.016265045821987
378,4.1237,6.354657254730295
379,4.1346,6.075677207233762
380,4.1456,3.0986258584712325
381,4.1565,2.1177784595787794
382,4.1674,0.37134457168984775
383,4.1783,0.008893394299046594
384,4.1892,1.510960110442957e-05
385,4.2001,0.00034077081453622314
386,4.211,1.7831625252587573
387,4.2219,3.4758770888321986
388,4.2328,4.776359542272681
389,4.2437,5.8655971016242425
390,4.2546,5.672543977665022
391,4.2656,1.9526371945930852
392,4.2765,0.4301952569963773
393,4.2874,0.16730125079605662
394,4.2983,0.020105240124807914
395,4.3092,0.006874731750908346
396,4.3201,0.09590713117193894
397,4.331,0.18833254954899964
398,4.3419,0.05435508231166481
399,4.3528,0.002352635902178559
400,4.3637,0.0005911831615259902
401,4.3746,0.1274199821460565
402,4.3856,1.2505249457101644
403,4.3965,1.7397207003746489
404,4.4074,2.220779604470492
405,4.4183,2.7431733567378274
406,4.4292,3.336075558105216
407,4.4401,4.1706673680882
408,4.451,4.9851606177987655
409,4.4619,5.361472124029574
410,4.4728,2.951893560211887
411,4.4837,0.5917946737117373
412,4.4946,2.9384802984642304
413,4.5056,3.6446334386042802
414,4.5165,1.9071894514374843
415,4.5274,1.9964697022046327
416,4.5383,2.46333644277993
417,4.5492,1.810630260924106
418,4.5601,2.8256328908444273
419,4.571,2.914254524948189
420,4.5819,2.270310874572154
421,4.5928,3.6619064222649826
422,4.6037,5.044118906337107
423,4.6147,5.952005771435797
424,4.6256,4.115094951115067
425,4.6365,0.7178161498458875
426,4.6474,0.021513915127946308
427,4.6583,0.00010015877764549146
428,4.6692,0.009420997526689125
429,4.6801,1.5440796526639673
430,4.691,2.318979850418431
431,4.7019,2.5472846881579185
432,4.7128,3.212189547025749
433,4.7237,3.7298159848230035
434,4.7347,2.4176485587187715
435,4.7456,1.0259110103746016
436,4.7565,2.5911629367540527
