Energy,xx,yy,zz,xy,xz,yz
8.7845,-1.7267,-1.7267,-1.7267,0.2873,0.2873,0.2873
8.8213,-1.9600,-1.9600,-1.9600,0.2975,0.2975,0.2975
8.8580,-2.2546,-2.2546,-2.2546,0.2787,0.2787,0.2787
8.8948,-2.5564,-2.5564,-2.5564,0.2326,0.2326,0.2326
8.9315,-2.8210,-2.8210,-2.8210,0.1780,0.1780,0.1780
8.9683,-2.9903,-2.9903,-2.9903,0.1284,0.1284,0.1284
9.0051,-3.0661,-3.0661,-3.0661,0.0729,0.0729,0.0729
9.0418,-2.9842,-2.9842,-2.9842,0.0390,0.0390,0.0390
9.0786,-2.7345,-2.7345,-2.7345,0.0370,0.0370,0.0370
9.1153,-2.4718,-2.4718,-2.4718,0.0299,0.0299,0.0299
9.1521,-2.2427,-2.2427,-2.2427,0.0085,0.0085,0.0085
9.1888,-2.0657,-2.0657,-2.0657,-0.0249,-0.0249,-0.0249
9.2256,-2.0538,-2.0538,-2.0538,-0.0537,-0.0537,-0.0537
9.2623,-1.9484,-1.9484,-1.9484,-0.0790,-0.0790,-0.0790
9.2991,-1.7889,-1.7889,-1.7889,-0.1471,-0.1471,-0.1471
9.3359,-1.9029,-1.9029,-1.9029,-0.2297,-0.2297,-0.2297
9.3726,-1.9616,-1.9616,-1.9616,-0.2686,-0.2686,-0.2686
9.4094,-1.9088,-1.9088,-1.9088,-0.2578,-0.2578,-0.2578
9.4461,-1.9375,-1.9375,-1.9375,-0.2127,-0.2127,-0.2127
9.4829,-2.0811,-2.0811,-2.0811,-0.1216,-0.1216,-0.1216
9.5196,-2.2483,-2.2483,-2.2483,-0.0250,-0.0250,-0.0250
9.5564,-2.3218,-2.3218,-2.3218,0.0124,0.0124,0.0124
9.5931,-2.3598,-2.3598,-2.3598,0.0210,0.0210,0.0210
9.6299,-2.3346,-2.3346,-2.3346,0.0206,0.0206,0.0206
9.6666,-2.2554,-2.2554,-2.2554,0.0154,0.0154,0.0154
9.7034,-2.1751,-2.1751,-2.1751,0.0170,0.0170,0.0170
9.7402,-2.1061,-2.1061,-2.1061,0.0274,0.0274,0.0274
9.7769,-2.0345,-2.0345,-2.0345,0.0481,0.0481,0.0481
9.8137,-2.0111,-2.0111,-2.0111,0.1163,0.1163,0.1163
9.8504,-2.0458,-2.0458,-2.0458,0.1975,0.1975,0.1975
9.8872,-2.0448,-2.0448,-2.0448,0.2143,0.2143,0.2143
9.9239,-2.0973,-2.0973,-2.0973,0.1521,0.1521,0.1521
9.9607,-2.1317,-2.1317,-2.1317,0.1039,0.1039,0.1039
9.9974,-2.0866,-2.0866,-2.0866,0.1152,0.1152,0.1152
10.0342,-2.0995,-2.0995,-2.0995,0.1246,0.1246,0.1246
10.0710,-2.1403,-2.1403,-2.1403,0.1316,0.1316,0.1316
10.1077,-2.1199,-2.1199,-2.1199,0.1335,0.1335,0.1335
10.1445,-2.0189,-2.0189,-2.0189,0.1260,0.1260,0.1260
10.1812,-1.9033,-1.9033,-1.9033,0.1127,0.1127,0.1127
10.2180,-1.8129,-1.8129,-1.8129,0.0964,0.0964,0.0964
10.2547,-1.7285,-1.7285,-1.7285,0.0872,0.0872,0.0872
10.2915,-1.6594,-1.6594,-1.6594,0.0919,0.0919,0.0919
10.3282,-1.6550,-1.6550,-1.6550,0.1148,0.1148,0.1148
10.3650,-1.6904,-1.6904,-1.6904,0.1502,0.1502,0.1502
10.4018,-1.7162,-1.7162,-1.7162,0.1906,0.1906,0.1906
10.4385,-1.7747,-1.7747,-1.7747,0.2312,0.2312,0.2312
10.4753,-1.8470,-1.8470,-1.8470,0.2591,0.2591,0.2591
10.5120,-1.8629,-1.8629,-1.8629,0.2719,0.2719,0.2719
10.5488,-1.8370,-1.8370,-1.8370,0.2744,0.2744,0.2744
10.5855,-1.8030,-1.8030,-1.8030,0.2727,0.2727,0.2727
10.6223,-1.7759,-1.7759,-1.7759,0.2708,0.2708,0.2708
10.6590,-1.7706,-1.7706,-1.7706,0.2726,0.2726,0.2726
10.6958,-1.7777,-1.7777,-1.7777,0.2796,0.2796,0.2796
10.7326,-1.7966,-1.7966,-1.7966,0.2862,0.2862,0.2862
10.7693,-1.8325,-1.8325,-1.8325,0.2829,0.2829,0.2829
10.8061,-1.8579,-1.8579,-1.8579,0.2656,0.2656,0.2656
10.8428,-1.8630,-1.8630,-1.8630,0.2385,0.2385,0.2385
10.8796,-1.8522,-1.8522,-1.8522,0.2082,0.2082,0.2082
10.9163,-1.8221,-1.8221,-1.8221,0.1755,0.1755,0.1755
10.9531,-1.7737,-1.7737,-1.7737,0.1582,0.1582,0.1582
10.9898,-1.7253,-1.7253,-1.7253,0.1647,0.1647,0.1647
11.0266,-1.6779,-1.6779,-1.6779,0.1718,0.1718,0.1718
